<saosp;
OPERATING SYSTEM AREA

POS  ADDRESS                    VALUE  MEANING
 49 101208 1616     7         H'049C  512 H'0002 H'0000 
 49 101208 1616     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 45 101205 0109     7         H'049C  513 H'0000 H'001F 
 45 101205 0109     7         H'049C  506 H'0000 H'00EA 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'013E 
                                      506 H'0003 H'0000 
 45 101205 0109     7         H'049C  512 H'0001 H'0001 
 45 101205 0109     7         H'049C  513 H'0000 H'00C6 
 45 101205 0105     7         H'049C  509 H'0000 H'0000 
 45 101205 0105     7         H'049C  512 H'0001 H'0000 
 45 101205 0104     7         H'049C  513 H'0000 H'001F 
 45 101205 0104     7         H'049C  506 H'0000 H'00E4 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00E5 
                                      506 H'0003 H'0000 
 45 101205 0104     7         H'049C  512 H'0001 H'0001 
 45 101205 0104     7         H'049C  513 H'0000 H'00C1 
 45 101205 0101     7         H'049C  509 H'0000 H'0000 
 45 101205 0101     7         H'049C  512 H'0001 H'0000 
 39 101130 1113     9         H'0006    0 H'0000 H'0000 
 39 101130 1113     7         H'049C  513 H'0000 H'0015 
 39 101130 1113     7         H'049C  512 H'0002 H'0000 
 39 101130 1113     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 31 101123 1140     9         H'0006    0 H'0000 H'0000 
 31 101123 1140     7         H'049C  513 H'0000 H'0015 
 31 101123 1140     7         H'049C  512 H'0002 H'0000 
 31 101123 1140     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 29 101122 1211     9         H'0006    0 H'0000 H'0000 
 29 101122 1211     7         H'049C  513 H'0000 H'0015 
 29 101122 1210     7         H'049C  512 H'0002 H'0000 
 29 101122 1210     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 17 101111 1508     9         H'0006    0 H'0000 H'0000 
 17 101111 1508     7         H'049C  513 H'0000 H'0015 
 17 101111 1507     7         H'049C  512 H'0002 H'0000 
 17 101111 1507     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 13 101108 1926     9         H'0006    0 H'0000 H'0000 
 13 101108 1926     7         H'049C  513 H'0000 H'0015 
 13 101108 1926     7         H'049C  512 H'0002 H'0000 
 13 101108 1925     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
 11 101107 0125     9         H'0006    0 H'0000 H'0000 
 11 101107 0125     7         H'049C  513 H'0000 H'001F 
 11 101107 0125     7         H'049C  506 H'0000 H'00E5 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0118 
                                      506 H'0003 H'0000 
 11 101107 0125     7         H'049C  512 H'0001 H'0001 
 11 101107 0125     7         H'049C  513 H'0000 H'00C3 
 11 101107 0122     7         H'049C  509 H'0000 H'0000 
 11 101107 0122     7         H'049C  512 H'0001 H'0000 
 11 101107 0122     7         H'049C  513 H'0000 H'01EF 
 11 101107 0118     7         H'049C  509 H'BF20 H'0000 
 11 101107 0113     7         H'049C  514 H'BF20 H'0000 
 11 101107 0113     7         H'049C  512 H'0001 H'0000 
 11 101107 0113     4   1 NO  H'04A2  840 H'0001 H'0000 
                                      857 H'0014 H'0000 
 11 101107 0113     7         H'049C  513 H'0002 H'01DD 
 11 101107 0113     1   1 NO  H'049F  308 H'0000 H'FFFF 
                                      303 H'0001 H'0001 
                                      328 H'0000 H'0000 
                                      303 H'0008 H'002B 
                                      307 H'0001 H'0000 
 11 101107 0105     7         H'049C  509 H'0000 H'0000 
 11 101107 0105     7         H'049C  512 H'0001 H'0000 
 11 101107 0104     7         H'049C  513 H'0000 H'001F 
 11 101107 0104     7         H'049C  506 H'0000 H'00E6 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0145 
                                      506 H'0003 H'0000 
 11 101107 0104     7         H'049C  512 H'0001 H'0001 
 11 101107 0104     7         H'049C  513 H'0000 H'00C0 
 11 101107 0101     7         H'049C  509 H'0000 H'0000 
 11 101107 0101     7         H'049C  512 H'0001 H'0000 
  5 101102 1250     9         H'0006    0 H'0000 H'0000 
  5 101102 1250     7         H'049C  513 H'0000 H'0016 
  5 101102 1250     7         H'049C  512 H'0002 H'0000 
  5 101102 1250     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
999 101028 1145     9         H'0006    0 H'0000 H'0000 
999 101028 1145     7         H'049C  513 H'0000 H'0016 
999 101028 1145     7         H'049C  512 H'0002 H'0000 
999 101028 1145     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
990 101020 1444     9         H'0006    0 H'0000 H'0000 
990 101020 1444     7         H'049C  513 H'0000 H'0015 
990 101020 1443     7         H'049C  512 H'0002 H'0000 
990 101020 1443     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
985 101016 1602     9         H'0006    0 H'0000 H'0000 
985 101016 1602     7         H'049C  513 H'0000 H'0015 
985 101016 1602     7         H'049C  512 H'0002 H'0000 
985 101016 1602     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
974 101006 1245     9         H'0006    0 H'0000 H'0000 
974 101006 1245     7         H'049C  513 H'0000 H'0015 
974 101006 1245     7         H'049C  512 H'0002 H'0000 
974 101006 1245     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
970 101003 0109     7         H'049C  513 H'0000 H'0020 
970 101003 0109     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'010A 
                                      506 H'0003 H'0000 
970 101003 0109     7         H'049C  512 H'0001 H'0001 
970 101003 0109     7         H'049C  513 H'0000 H'00C3 
970 101003 0105     7         H'049C  509 H'0000 H'0000 
970 101003 0105     7         H'049C  512 H'0001 H'0000 
970 101003 0104     7         H'049C  513 H'0000 H'0020 
970 101003 0104     7         H'049C  506 H'0000 H'00DF 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0110 
                                      506 H'0003 H'0000 
970 101003 0104     7         H'049C  512 H'0001 H'0001 
970 101003 0104     7         H'049C  513 H'0000 H'00C1 
970 101003 0101     7         H'049C  509 H'0000 H'0000 
970 101003 0101     7         H'049C  512 H'0001 H'0000 
965 100929 1256     9         H'0006    0 H'0000 H'0000 
965 100929 1256     7         H'049C  513 H'0000 H'0015 
965 100929 1255     7         H'049C  512 H'0002 H'0000 
965 100929 1255     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
960 100925 1105     9         H'0006    0 H'0000 H'0000 
960 100925 1105     7         H'049C  513 H'0000 H'0015 
960 100925 1105     7         H'049C  512 H'0002 H'0000 
960 100925 1104     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
958 100924 1530     9         H'0006    0 H'0000 H'0000 
958 100924 1530     7         H'049C  513 H'0000 H'0015 
958 100924 1530     7         H'049C  512 H'0002 H'0000 
958 100924 1530     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
951 100918 1145     9         H'0006    0 H'0000 H'0000 
951 100918 1145     7         H'049C  513 H'0000 H'0015 
951 100918 1145     7         H'049C  512 H'0002 H'0000 
951 100918 1145     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
947 100915 1631     9         H'0006    0 H'0000 H'0000 
947 100915 1631     7         H'049C  513 H'0000 H'0015 
947 100915 1631     7         H'049C  512 H'0002 H'0000 
947 100915 1631     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
944 100913 1358     9         H'0006    0 H'0000 H'0000 
944 100913 1358     7         H'049C  513 H'0000 H'0015 
944 100913 1358     7         H'049C  512 H'0002 H'0000 
944 100913 1358     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
943 100913 1136     9         H'0006    0 H'0000 H'0000 
943 100913 1136     7         H'049C  513 H'0000 H'0015 
943 100913 1135     7         H'049C  512 H'0002 H'0000 
943 100913 1135     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
942 100913 1122     9         H'0006    0 H'0000 H'0000 
942 100913 1122     7         H'049C  513 H'0000 H'0014 
942 100913 1121     7         H'049C  512 H'0002 H'0000 
942 100913 1121     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
934 100906 1106     9         H'0006    0 H'0000 H'0000 
934 100906 1106     7         H'049C  513 H'0000 H'0014 
934 100906 1105     7         H'049C  512 H'0002 H'0000 
934 100906 1105     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
931 100905 0108     7         H'049C  513 H'0000 H'00BE 
931 100905 0105     7         H'049C  509 H'0000 H'0000 
931 100905 0105     7         H'049C  512 H'0001 H'0000 
931 100905 0104     7         H'049C  513 H'0000 H'001F 
931 100905 0104     7         H'049C  506 H'0000 H'00F0 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0145 
                                      506 H'0003 H'0000 
931 100905 0104     7         H'049C  512 H'0001 H'0001 
931 100905 0104     7         H'049C  513 H'0000 H'00C2 
931 100905 0101     7         H'049C  509 H'0000 H'0000 
931 100905 0101     7         H'049C  512 H'0001 H'0000 
923 100901 1151     9         H'0006    0 H'0000 H'0000 
923 100901 1151     7         H'049C  513 H'0000 H'0014 
923 100901 1151     7         H'049C  512 H'0002 H'0000 
923 100901 1151     1   1 YES H'049F  308 H'0000 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
912 100827 1114     9         H'0006    0 H'0000 H'0000 
912 100827 1114     7         H'049C  513 H'0000 H'0015 
912 100827 1114     7         H'049C  512 H'0002 H'0000 
912 100827 1114     1   1 YES H'049F  308 H'0000 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
891 100817 1431     9         H'0006    0 H'0000 H'0000 
891 100817 1431     7         H'049C  513 H'0000 H'0014 
891 100817 1431     7         H'049C  512 H'0002 H'0000 
891 100817 1431     1   1 YES H'049F  308 H'0000 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
888 100816 1059     9         H'0006    0 H'0000 H'0000 
888 100816 1059     7         H'049C  513 H'0000 H'0014 
888 100816 1059     7         H'049C  512 H'0002 H'0000 
888 100816 1058     1   1 YES H'049F  308 H'0000 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
865 100805 2231     7         H'049C  513 H'0000 H'0014 
865 100805 2231     7         H'049C  510 H'0000 H'0080 
865 100805 2231     7         H'049C  512 H'0003 H'0000 
864 100805 2200     7         H'049C  513 H'0000 H'0021 
864 100805 2200     7         H'049C  506 H'0000 H'00E4 
                                      506 H'0001 H'001E 
                                      506 H'0002 H'00FB 
                                      506 H'0003 H'0000 
864 100805 2159     7         H'049C  512 H'0003 H'0001 
863 100805 2158     7         H'049C  513 H'0000 H'0014 
863 100805 2158     7         H'049C  510 H'0000 H'0080 
863 100805 2158     7         H'049C  512 H'0003 H'0000 
862 100805 1702     9         H'0006    0 H'0000 H'0000 
862 100805 1702     7         H'049C  513 H'0000 H'0014 
862 100805 1701     7         H'049C  512 H'0002 H'0000 
862 100805 1701     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
859 100803 1027     9         H'0006    0 H'0000 H'0000 
859 100803 1027     7         H'049C  513 H'0000 H'0014 
859 100803 1027     7         H'049C  512 H'0002 H'0000 
859 100803 1027     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
857 100802 1036     9         H'0006    0 H'0000 H'0000 
857 100802 1036     7         H'049C  513 H'0000 H'0014 
857 100802 1036     7         H'049C  512 H'0002 H'0000 
857 100802 1036     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
854 100801 0109     7         H'049C  513 H'0000 H'00C0 
854 100801 0105     7         H'049C  509 H'0000 H'0000 
854 100801 0105     7         H'049C  512 H'0001 H'0000 
854 100801 0104     7         H'049C  513 H'0000 H'0021 
854 100801 0104     7         H'049C  506 H'0000 H'00E7 
                                      506 H'0001 H'001E 
                                      506 H'0002 H'010D 
                                      506 H'0003 H'0000 
854 100801 0104     7         H'049C  512 H'0001 H'0001 
854 100801 0104     7         H'049C  513 H'0000 H'00C0 
854 100801 0101     7         H'049C  509 H'0000 H'0000 
854 100801 0101     7         H'049C  512 H'0001 H'0000 
852 100731 1755     9         H'0006    0 H'0000 H'0000 
852 100731 1755     7         H'049C  513 H'0000 H'01EE 
852 100731 1752     7         H'049C  509 H'0000 H'0014 
852 100731 1747     7         H'049C  514 H'0000 H'0014 
852 100731 1747     7         H'049C  512 H'0002 H'0000 
852 100731 1747    10     NO  H'049F  308 H'0000 H'FFFF 
                                      304 H'0000 H'0000 
                                      305 H'0000 H'0000 
                                      309 H'0000 H'0000 
                                      331 H'0000 H'0000 
                                      310 H'0000 H'0000 
849 100729 0946     9         H'0006    0 H'0000 H'0000 
849 100729 0946     7         H'049C  513 H'0000 H'0014 
849 100729 0946     7         H'049C  512 H'0002 H'0000 
849 100729 0946     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
848 100729 0215     9         H'0006    0 H'0000 H'0000 
848 100729 0215     7         H'049C  513 H'0000 H'0014 
848 100729 0215     7         H'049C  512 H'0002 H'0000 
848 100729 0214     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
845 100728 2202     9         H'0006    0 H'0000 H'0000 
845 100728 2202     7         H'049C  513 H'0000 H'0014 
845 100728 2202     7         H'049C  512 H'0002 H'0000 
845 100728 2202     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
843 100727 1016     9         H'0006    0 H'0000 H'0000 
843 100727 1016     7         H'049C  513 H'0000 H'0014 
843 100727 1016     7         H'049C  512 H'0002 H'0000 
843 100727 1016     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
841 100726 2003     9         H'0006    0 H'0000 H'0000 
841 100726 2003     7         H'049C  513 H'0000 H'0014 
841 100726 2003     7         H'049C  512 H'0002 H'0000 
841 100726 2003     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
827 100713 1222     9         H'0006    0 H'0000 H'0000 
827 100713 1222     7         H'049C  513 H'0000 H'0015 
827 100713 1222     7         H'049C  512 H'0002 H'0000 
827 100713 1222     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
821 100708 1234     9         H'0006    0 H'0000 H'0000 
821 100708 1234     7         H'049C  513 H'0000 H'0014 
821 100708 1234     7         H'049C  512 H'0002 H'0000 
821 100708 1234     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
816 100704 0109     7         H'049C  513 H'0000 H'0020 
816 100704 0109     7         H'049C  506 H'0000 H'00E9 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0108 
                                      506 H'0003 H'0000 
816 100704 0109     7         H'049C  512 H'0001 H'0001 
816 100704 0109     7         H'049C  513 H'0000 H'00C2 
816 100704 0105     7         H'049C  509 H'0000 H'0000 
816 100704 0105     7         H'049C  512 H'0001 H'0000 
816 100704 0104     7         H'049C  513 H'0000 H'0020 
816 100704 0104     7         H'049C  506 H'0000 H'00E9 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0147 
                                      506 H'0003 H'0000 
816 100704 0104     7         H'049C  512 H'0001 H'0001 
816 100704 0104     7         H'049C  513 H'0000 H'00BF 
816 100704 0101     7         H'049C  509 H'0000 H'0000 
816 100704 0101     7         H'049C  512 H'0001 H'0000 
811 100630 1545     9         H'0006    0 H'0000 H'0000 
811 100630 1545     7         H'049C  513 H'0000 H'0014 
811 100630 1545     7         H'049C  512 H'0002 H'0000 
811 100630 1545     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
801 100621 1142     9         H'0006    0 H'0000 H'0000 
801 100621 1142     7         H'049C  513 H'0000 H'0015 
801 100621 1141     7         H'049C  512 H'0002 H'0000 
801 100621 1141     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
794 100615 1108     9         H'0006    0 H'0000 H'0000 
794 100615 1108     7         H'049C  513 H'0000 H'0014 
794 100615 1107     7         H'049C  512 H'0002 H'0000 
794 100615 1107     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
788 100610 1053     9         H'0006    0 H'0000 H'0000 
788 100610 1053     7         H'049C  513 H'0000 H'0015 
788 100610 1053     7         H'049C  512 H'0002 H'0000 
788 100610 1053     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
783 100606 0109     7         H'049C  513 H'0000 H'0020 
783 100606 0109     7         H'049C  506 H'0000 H'00E5 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'010C 
                                      506 H'0003 H'0000 
783 100606 0109     7         H'049C  512 H'0001 H'0001 
783 100606 0109     7         H'049C  513 H'0000 H'00C3 
783 100606 0105     7         H'049C  509 H'0000 H'0000 
783 100606 0105     7         H'049C  512 H'0001 H'0000 
783 100606 0104     7         H'049C  513 H'0000 H'0020 
783 100606 0104     7         H'049C  506 H'0000 H'00E5 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'012A 
                                      506 H'0003 H'0000 
783 100606 0104     7         H'049C  512 H'0001 H'0001 
783 100606 0104     7         H'049C  513 H'0000 H'00C1 
783 100606 0101     7         H'049C  509 H'0000 H'0000 
783 100606 0101     7         H'049C  512 H'0001 H'0000 
776 100602 0004     9         H'0006    0 H'0000 H'0000 
776 100602 0004     7         H'049C  513 H'0000 H'0014 
776 100602 0004     7         H'049C  512 H'0002 H'0000 
776 100602 0004     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
775 100601 1249     9         H'0006    0 H'0000 H'0000 
775 100601 1249     7         H'049C  513 H'0000 H'0014 
775 100601 1249     7         H'049C  512 H'0002 H'0000 
775 100601 1249     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
767 100527 0042     9         H'0006    0 H'0000 H'0000 
767 100527 0042     7         H'049C  513 H'0000 H'0014 
767 100527 0042     7         H'049C  512 H'0002 H'0000 
767 100527 0042     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
766 100527 0010     9         H'0006    0 H'0000 H'0000 
766 100527 0010     7         H'049C  513 H'0000 H'0014 
766 100527 0009     7         H'049C  512 H'0002 H'0000 
766 100527 0009     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
765 100526 1154     9         H'0006    0 H'0000 H'0000 
765 100526 1154     7         H'049C  513 H'0000 H'0014 
765 100526 1154     7         H'049C  512 H'0002 H'0000 
765 100526 1154     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
763 100525 1211     9         H'0006    0 H'0000 H'0000 
763 100525 1211     7         H'049C  513 H'0000 H'0014 
763 100525 1211     7         H'049C  512 H'0002 H'0000 
763 100525 1211     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
762 100525 1141     9         H'0006    0 H'0000 H'0000 
762 100525 1141     7         H'049C  513 H'0000 H'0015 
762 100525 1141     7         H'049C  512 H'0002 H'0000 
762 100525 1141     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
761 100525 1129     9         H'0006    0 H'0000 H'0000 
761 100525 1129     7         H'049C  513 H'0000 H'0014 
761 100525 1129     7         H'049C  512 H'0002 H'0000 
761 100525 1129     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
760 100525 1129     9         H'0006    0 H'0000 H'0000 
760 100525 1129     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      310 H'0000 H'0000 
752 100518 1154     9         H'0006    0 H'0000 H'0000 
752 100518 1154     7         H'049C  513 H'0000 H'0015 
752 100518 1154     7         H'049C  512 H'0002 H'0000 
752 100518 1154     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
735 100502 0109     7         H'049C  513 H'0000 H'0020 
735 100502 0109     7         H'049C  506 H'0000 H'00E1 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'0108 
                                      506 H'0003 H'0000 
735 100502 0109     7         H'049C  512 H'0001 H'0001 
735 100502 0109     7         H'049C  513 H'0000 H'00D1 
735 100502 0105     7         H'049C  509 H'0000 H'0000 
735 100502 0105     7         H'049C  512 H'0001 H'0000 
735 100502 0104     7         H'049C  513 H'0000 H'0020 
735 100502 0104     7         H'049C  506 H'0000 H'00DA 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'00E5 
                                      506 H'0003 H'0000 
735 100502 0104     7         H'049C  512 H'0001 H'0001 
735 100502 0104     7         H'049C  513 H'0000 H'00C0 
735 100502 0101     7         H'049C  509 H'0000 H'0000 
735 100502 0101     7         H'049C  512 H'0001 H'0000 
732 100430 1156     9         H'0006    0 H'0000 H'0000 
732 100430 1156     7         H'049C  513 H'0000 H'0015 
732 100430 1155     7         H'049C  512 H'0002 H'0000 
732 100430 1155     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
728 100427 1326     9         H'0006    0 H'0000 H'0000 
728 100427 1326     7         H'049C  513 H'0000 H'0014 
728 100427 1325     7         H'049C  512 H'0002 H'0000 
728 100427 1325     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
727 100427 1315     7         H'049C  513 H'0000 H'0014 
727 100427 1315     7         H'049C  512 H'0003 H'0000 
725 100426 1244     9         H'0006    0 H'0000 H'0000 
725 100426 1244     7         H'049C  513 H'0000 H'0015 
725 100426 1243     7         H'049C  512 H'0002 H'0000 
725 100426 1243     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
721 100423 2345     9         H'0006    0 H'0000 H'0000 
721 100423 2345     7         H'049C  513 H'0000 H'0014 
721 100423 2345     7         H'049C  512 H'0002 H'0000 
721 100423 2345     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
720 100423 2250     9         H'0006    0 H'0000 H'0000 
720 100423 2250     7         H'049C  513 H'0000 H'0014 
720 100423 2250     7         H'049C  512 H'0002 H'0000 
720 100423 2250     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
712 100416 1527     9         H'0006    0 H'0000 H'0000 
712 100416 1527     7         H'049C  513 H'0000 H'0014 
712 100416 1527     7         H'049C  512 H'0002 H'0000 
712 100416 1527     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
710 100415 1649     9         H'0006    0 H'0000 H'0000 
710 100415 1649     7         H'049C  513 H'0000 H'0014 
710 100415 1648     7         H'049C  512 H'0002 H'0000 
710 100415 1648     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
703 100409 1049     9         H'0006    0 H'0000 H'0000 
703 100409 1049     7         H'049C  513 H'0000 H'0015 
703 100409 1048     7         H'049C  512 H'0002 H'0000 
703 100409 1048     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
697 100404 0109     7         H'049C  513 H'0000 H'001F 
697 100404 0109     7         H'049C  506 H'0000 H'00EA 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0123 
                                      506 H'0003 H'0000 
697 100404 0109     7         H'049C  512 H'0001 H'0001 
697 100404 0109     7         H'049C  513 H'0000 H'00D2 
697 100404 0105     7         H'049C  509 H'0000 H'0000 
697 100404 0105     7         H'049C  512 H'0001 H'0000 
697 100404 0104     7         H'049C  513 H'0000 H'001F 
697 100404 0104     7         H'049C  506 H'0000 H'00E2 
                                      506 H'0001 H'001C 
                                      506 H'0002 H'0120 
                                      506 H'0003 H'0000 
697 100404 0104     7         H'049C  512 H'0001 H'0001 
697 100404 0104     7         H'049C  513 H'0000 H'00C1 
697 100404 0101     7         H'049C  509 H'0000 H'0000 
697 100404 0101     7         H'049C  512 H'0001 H'0000 
677 100316 1155     9         H'0006    0 H'0000 H'0000 
677 100316 1155     7         H'049C  513 H'0000 H'0015 
677 100316 1155     7         H'049C  512 H'0002 H'0000 
677 100316 1154     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
669 100309 1641     9         H'0006    0 H'0000 H'0000 
669 100309 1641     7         H'049C  513 H'0000 H'0014 
669 100309 1641     7         H'049C  512 H'0002 H'0000 
669 100309 1641     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
668 100309 1629     9         H'0006    0 H'0000 H'0000 
668 100309 1629     7         H'049C  513 H'0000 H'0014 
668 100309 1628     7         H'049C  512 H'0002 H'0000 
668 100309 1628     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
667 100309 1501     9         H'0006    0 H'0000 H'0000 
667 100309 1501     7         H'049C  513 H'0000 H'0014 
667 100309 1500     7         H'049C  512 H'0002 H'0000 
667 100309 1500     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
664 100307 1131     9         H'0006    0 H'0000 H'0000 
664 100307 1131     7         H'049C  513 H'0000 H'0014 
664 100307 1131     7         H'049C  512 H'0002 H'0000 
664 100307 1131     1   1 YES H'049F  308 H'0001 H'FFFF 
                                      319 H'0000 H'0000 
                                      310 H'0000 H'0000 
663 100307 0109     7         H'049C  513 H'0000 H'0020 
663 100307 0109     7         H'049C  506 H'0000 H'00E0 
                                      506 H'0001 H'001D 
                                      506 H'0002 H'011F 
                                      506 H'0003 H'0000 
663 100307 0108     7         H'049C  512 H'0001 H'0001 
663 100307 0108     7         H'049C  513 H'0000 H'00BF 
663 100307 0105     7         H'049C  509 H'0000 H'0000 
663 100307 0105     7         H'049C  512 H'0001 H'0000 
